listing_id,source,category,make,model,year,engine_cc,fuel_type,transmission,mileage_km,color,condition,num_owners,registered,registration_city,city,price_pkr,listing_date
PK-62797325,OLX,Car,Suzuki,Jimny,2022,1500,Hybrid,CVT,30000,Golden,Fair,1,No,Un-Registered,Karachi,4280000,2024-02-15
PK-62780947,PakWheels,Car,Hyundai,Elantra,2021,2000,CNG+Petrol,Automatic,49000,White,Good,1,Yes,Sukkur,Lahore,4877000,2024-08-20
PK-87161350,OLX,Car,Honda,Fit,2020,1300,Petrol,Manual,45000,Black,Excellent,2,Yes,Islamabad,Karachi,2085000,2023-06-06
PK-48976938,PakWheels,Car,Changan,Oshan X7,2021,1500,Petrol,CVT,40500,Pearl White,Excellent,2,Yes,Rawalpindi,Islamabad,5753000,2024-07-28
PK-10702802,OLX,Car,Toyota,Fortuner,2019,2700,Petrol,Manual,64000,White,Good,4,Yes,Karachi,Quetta,9349000,2024-10-06
PK-41674763,OLX,Car,Proton,X70,2021,1800,Hybrid,CVT,47500,Black,Good,2,Yes,Islamabad,Multan,6342000,2024-09-14
PK-41823071,OLX,Car,Toyota,Land Cruiser,2016,4000,CNG+Petrol,CVT,82000,Blue,Good,2,Yes,Lahore,Rawalpindi,21250000,2024-09-12
PK-81276715,OLX,Car,Hyundai,Elantra,2020,2000,Petrol,Manual,62000,Silver,Excellent,2,Yes,Peshawar,Islamabad,5048000,2024-07-29
PK-50246536,PakWheels,Car,Toyota,Prius,2017,1800,Petrol,Automatic,134500,Silver,Fair,2,Yes,Faisalabad,Lahore,5100000,2023-01-27
PK-84291824,PakWheels,Car,Honda,Fit,2012,1300,Petrol,Manual,144000,Grey,Good,2,Yes,Multan,Lahore,1530000,2023-09-22
PK-27968754,OLX,Car,Toyota,Hilux,2024,2800,Petrol,Manual,0,Blue,Excellent,1,Yes,Hyderabad,Lahore,9537000,2024-03-27
PK-74657836,OLX,Car,Toyota,Hilux,2023,2800,Petrol,CVT,13500,Blue,Excellent,2,Yes,Faisalabad,Faisalabad,8563000,2024-07-28
PK-50020641,OLX,Car,Proton,Saga,2022,1300,CNG+Petrol,Manual,32000,Golden,Excellent,1,Yes,Bahawalpur,Peshawar,2906000,2023-10-17
PK-82154472,PakWheels,Car,Toyota,Hilux,2022,2800,Petrol,Manual,23500,White,Good,2,Yes,Rawalpindi,Lahore,7879000,2023-10-18
PK-91015804,PakWheels,Car,Suzuki,Alto,2024,660,CNG+Petrol,CVT,0,Pearl White,Good,3,Yes,Karachi,Lahore,1869000,2023-02-22
PK-30966059,PakWheels,Motorcycle,Yamaha,MT-15,2023,155,Petrol,Manual,9800,Blue,Good,1,No,Un-Registered,Karachi,779000,2023-10-11
PK-16413678,PakWheels,Car,Honda,Fit,2017,1300,Hybrid,Manual,74500,Green,Good,2,Yes,Gujranwala,Rawalpindi,1643000,2023-02-20
PK-66386019,PakWheels,Car,Toyota,Vitz,2015,1000,Petrol,CVT,137500,Maroon,Excellent,1,Yes,Sialkot,Multan,1700000,2024-05-15
PK-10982858,PakWheels,Car,Suzuki,Swift,2020,1300,Hybrid,Automatic,47000,Beige,Needs Work,1,Yes,Sargodha,Lahore,1870000,2023-02-01
PK-77888064,PakWheels,Car,Changan,Oshan X7,2023,1500,CNG+Petrol,Manual,11000,Green,Good,1,Yes,Sukkur,Faisalabad,6672000,2024-06-28
PK-85273310,PakWheels,Car,Honda,BRV,2017,1500,Petrol,Automatic,87000,Maroon,Good,2,Yes,Quetta,Multan,3825000,2024-02-05
PK-14644682,PakWheels,Car,Toyota,Hilux,2017,2800,Petrol,Manual,108500,Beige,Excellent,2,Yes,Rawalpindi,Islamabad,6621000,2024-10-22
PK-79926458,PakWheels,Car,Toyota,Land Cruiser,2023,4000,Petrol,Automatic,12000,Beige,Good,1,No,Un-Registered,Lahore,32569000,2023-07-03
PK-64899510,PakWheels,Car,Toyota,Vitz,2019,1000,Hybrid,Manual,59000,Silver,Excellent,1,Yes,Faisalabad,Faisalabad,2234000,2024-08-05
